,state,date,value
2160,PA,20151011,11084.470738527778
2161,PA,20151012,8868.79960525
2162,PA,20151013,18837.33710589236
2163,PA,20151014,11808.516841643926
2164,PA,20151015,9765.456942657409
2165,PA,20151016,14676.05118709375
2166,PA,20151017,13796.497626037037
2167,PA,20151018,10668.286832144879
2168,PA,20151019,9728.963049200978
2169,PA,20151020,14122.463570009375
2170,PA,20151021,12929.881170245302
2171,PA,20151022,6526.297982911767
2172,PA,20151023,7356.856499328907
2173,PA,20151024,11674.206750408284
2174,PA,20151025,15501.359399699646
2175,PA,20151026,22246.573660413105
2176,PA,20151027,15325.065147583928
2177,PA,20151028,25085.13873432662
2178,PA,20151029,7449.44130727284
2179,PA,20151030,11082.780721547457
2180,PA,20151031,4511.182357407406
2181,PA,20151101,8042.284859598625
2182,PA,20151102,16418.257859424313
2183,PA,20151103,12944.062017648146
2184,PA,20151104,26073.12340465414
2185,PA,20151105,31762.06777952542
2186,PA,20151106,20924.911155059788
2187,PA,20151107,16194.808222610514
2188,PA,20151108,14456.785712345647
2189,PA,20151109,17865.701665270833
2190,PA,20151110,7963.488827531877
2191,PA,20151111,17048.071494125372
2192,PA,20151112,18907.185732197184
2193,PA,20151113,26904.888741372484
2194,PA,20151114,13669.46653808059
2195,PA,20151115,11985.336790505322
2196,PA,20151116,14328.332498353091
2197,PA,20151117,18111.97217444764
2198,PA,20151118,16161.115709607757
